,abstract,Tags
0,"crawl the flickr photo-sharing social network may 2006 return graph 820,878 nod 9,837,214 edge . dataset distribute a smat file readme file code read file python matlab .","communication, computer science"
1,"data several study the influence phosphorus potassium nutrition alfalfa . include numeric data as yield , plant mass , plant count , tissue concentration various nutrients","agronomy, crop science, forage legumes, nutritive value, soil fertility, soil science, winter hardiness, yield components"
2,"data several study the influence phosphorus potassium nutrition alfalfa . include numeric data as yield , plant mass , plant count , tissue concentration various nutrients","agronomy, crop science, forage legumes, nutritive value, soil fertility, soil science, winter hardiness, yield components"
3,"dissertation the cost utility network measurement infrastructures , include mechanisms admission control , identify measurement pattern will benefit inference , select vantage point wide-scale measurement .","computer science, inference, internet"
4,supplemental datasets use evaluation function predictions moonlight proteins .,"biochemistry, bioinformatics, molecular biosciences, proteomics"
5,supplementary material the paper : functional similarity network high confidence protein function prediction pfp . bmc bioinformatics . 2010 may 19 ; 11:265. doi : 10.1186/1471-2105-11-265 .,"biochemistry, bioinformatics, computational biology / methods, genetic, molecular biosciences, proteins / metabolism"
6,"supplementary material the paper : thread without optimize weight factor the score function proteins , revision ( 2008 ) . proteins . 2008 nov 15 ; 73 ( 3 ) :581-96. doi : 10.1002/prot.22082 .","algorithms, biochemistry, bioinformatics, databases, molecular biosciences, protein, proteins / chemistry"
7,supplemental material the paper : comparative genomics small rnas bacterial genomes . omics . 2007 spring ; 11 ( 1 ) :58-73 .,"bacterial, bacterial/genetics, biochemistry, bioinformatics, deinococcus/genetics, escherichiacoli/metabolism, molecular biosciences, multigene family, rna"
8,supplementary material the paper : characterization local geometry protein surface the visibility criteria . proteins . 2008 may 1 ; 71 ( 2 ) :670-83 .,"argininosuccinate synthase, binding sites, biochemistry, bioinformatics, computer simulation, molecular biosciences, protein structure, sensitivity and specificity, tertiary, tetrahydrofolate dehydrogenase/chemistry"
9,"supplementary material the paper : limitations potentials current motif discovery algorithms , nucleic acids res . 2005 ; 33 ( 15 ) : 4899–4913","algorithms, base sequence, binding sites, biochemistry, bioinformatics, computational biology / methods, dna/chemistry, dna/methods, escherichia coli/genetics, factors/metabolism, markov chains, markov chains regulatory sequences, molecular biosciences, regulon, sequence alignment, sequence analysis"
10,include description infosead protocol an example how document be analyze use the protocol .,"assessment, education, information literacy, library science"
11,"supplementary materials the paper : statistical potential base amino acid similarity matrices align distantly relate protein sequence . proteins : structure , function bioinformatics 64 : 587-600 . ( 2006 )","amino acids/chemistry, biochemistry, bioinformatics, molecular biosciences, protein folding"
12,"supplementary materials the paper : cheng , j.-t. , l. j. pyrak-nolte , d. d. nolte , n. j. giordano ( 2004 ) , link pressure saturation interfacial areas porous media , geophys . res . lett. , 31 , l08502 , doi:10.1029/2003gl019282 .","drainage, physics"
13,"supplementary materials the paper : measurement interfacial area per volume drainage imbibition , water resour . res. , 43 , w12504 , 2007 , doi:10.1029/2007wr006021 .","drainage, physics"
14,"supplementary materials the paper : relate capillary pressure interfacial areas , water resour . res. , 44 , w06408 , 2008 , doi:10.1029/2007wr006434 .","drainage, physics"
15,"celt download include blueprint write assessment items , the content the assessment . version ( 4.1 ) include 2 part , one an engineer topic , one a biology topic .","assessment, education, engineering education, environmental engineering"
16,"celt download include blueprint write assessment items , the content the assessment . version ( 4.1 ) include 2 part , one an engineer topic , one a biology topic .","assessment, education, engineering education, environmental engineering"
17,"video interview alina marazzi , lead female italian film director , accompany 2013 book reframing italy : new trend italian women 's filmmaking , bernardette luciano susanna scarparo .","classical studies, drama, film studies, global languages and literatures, italy, motion pictures, performing arts, reframing italy, women filmmakers, women's studies"
18,supplementary materials the report : effect realistic heat straighten repair the properties serviceability damage steel bridge,"civil engineering, damaged steel beam bridge, heat straightening repair, joint transportation research program, jtrp, multiple heat straightening, overheat, overstrain, spr-3105"
19,supplementary materials the report : effect realistic heat straighten repair the properties serviceability damage steel bridge,"civil engineering, damaged steel beam bridge, heat straightening repair, joint transportation research program, jtrp, multiple heat straightening, overheat, overstrain, spr-3105"
20,supplementary materials the report : effect realistic heat straighten repair the properties serviceability damage steel bridge,"civil engineering, damaged steel beam bridge, heat straightening repair, joint transportation research program, jtrp, multiple heat straightening, overheat, overstrain, spr-3105"
21,supplementary materials the report : effect realistic heat straighten repair the properties serviceability damage steel bridge,"civil engineering, damaged steel beam bridge, heat straightening repair, joint transportation research program, jtrp, multiple heat straightening, overheat, overstrain, spr-3105"
22,supplementary materials the report : effect realistic heat straighten repair the properties serviceability damage steel bridge,"civil engineering, damaged steel beam bridge, heat straightening repair, joint transportation research program, jtrp, multiple heat straightening, overheat, overstrain, spr-3105"
23,supplementary materials the report : effect realistic heat straighten repair the properties serviceability damage steel bridge,"civil engineering, damaged steel beam bridge, heat straightening repair, joint transportation research program, jtrp, multiple heat straightening, overheat, overstrain, spr-3105"
